episodes,averageReturn
1000,-24.2279
2000,-23.246
3000,-20.2841
4000,-20.871
5000,-19.9266
6000,-18.1126
7000,-13.467
8000,-9.90907
9000,-6.9047
10000,-5.54669
11000,-3.38289
12000,-1.01528
13000,0.549678
14000,1.12236
15000,1.34708
16000,1.2356
17000,1.31536
18000,1.22493
19000,1.371
20000,1.45741
21000,1.41229
22000,1.41812
23000,1.40336
24000,1.56978
25000,1.49354
26000,1.43025
27000,1.53436
28000,1.61685
29000,1.45954
30000,1.53524
31000,1.5379
32000,1.50875
33000,1.53981
34000,1.33506
35000,1.57977
36000,1.38272
37000,1.60782
38000,1.65174
39000,1.7155
40000,1.64436
41000,1.6251
42000,1.66241
43000,1.5134
44000,1.62246
45000,1.53037
46000,1.53464
47000,1.68809
48000,1.71246
49000,1.38395
49999,1.64331
